date,fips,cases,deaths
3/6/2020,6061,5,1
3/6/2020,6067,3,0
3/6/2020,6073,1,0
3/6/2020,6075,5,0
3/6/2020,6081,1,0
3/6/2020,6085,24,0
3/6/2020,6095,12,0
3/6/2020,6097,3,0
3/6/2020,6113,1,0
3/6/2020,8031,2,0
3/6/2020,8035,3,0
3/6/2020,8037,1,0
3/6/2020,8041,1,0
3/6/2020,8059,1,0
3/6/2020,12011,2,0
3/6/2020,12057,2,0
3/6/2020,12071,1,1
3/6/2020,12081,1,0
3/6/2020,12113,1,1
3/6/2020,13121,2,0
3/6/2020,13233,1,0
3/6/2020,15003,1,0
3/6/2020,17031,6,0
3/6/2020,18097,1,0
3/6/2020,21067,1,0
3/6/2020,24031,3,0
3/6/2020,25017,1,0
3/6/2020,25021,3,0
3/6/2020,25025,4,0
3/6/2020,27123,1,0
3/6/2020,31055,14,0
3/6/2020,32003,1,0
3/6/2020,32031,1,0
3/6/2020,33009,2,0
3/6/2020,34003,3,0
3/6/2020,34007,1,0
3/6/2020,36059,4,0
3/6/2020,,5,0
3/6/2020,36087,2,0
3/6/2020,36119,33,0
3/6/2020,37037,1,0
3/6/2020,37183,1,0
3/6/2020,40143,1,0
3/6/2020,41067,2,0
3/6/2020,42045,1,0
3/6/2020,42127,1,0
3/6/2020,,3,0
3/6/2020,45019,1,0
3/6/2020,45055,1,0
3/6/2020,47187,1,0
3/6/2020,48029,11,0
3/6/2020,48157,3,0
3/6/2020,48201,5,0
3/6/2020,49011,1,0
3/6/2020,49035,1,0
3/6/2020,49053,1,0
3/6/2020,53007,1,0
3/6/2020,53011,1,0
3/6/2020,53031,1,0
3/6/2020,53033,59,12
3/6/2020,53053,1,0
3/6/2020,53061,18,0
3/6/2020,53063,4,0
3/6/2020,53071,1,0
3/6/2020,55025,1,0
3/7/2020,4013,2,0
3/7/2020,4021,3,0
3/7/2020,6001,3,0
3/7/2020,6013,4,0
3/7/2020,6019,1,0
3/7/2020,6023,1,0
3/7/2020,6037,14,0
3/7/2020,6039,1,0
3/7/2020,6041,1,0
3/7/2020,6055,1,0
3/7/2020,6059,3,0
3/7/2020,6061,5,1
3/7/2020,6065,1,0
3/7/2020,6067,3,0
3/7/2020,6073,1,0
3/7/2020,6075,11,0
3/7/2020,6081,1,0
3/7/2020,6085,32,0
3/7/2020,6087,1,0
3/7/2020,6095,12,0
3/7/2020,6097,3,0
3/7/2020,6113,1,0
3/7/2020,8031,2,0
3/7/2020,8035,3,0
3/7/2020,8037,1,0
3/7/2020,8041,1,0
3/7/2020,8059,1,0
3/7/2020,11001,1,0
3/7/2020,12011,2,0
3/7/2020,12015,1,0
3/7/2020,12057,2,0
3/7/2020,12071,2,1
3/7/2020,12081,2,0
3/7/2020,12091,1,0
3/7/2020,12113,1,1
3/7/2020,12127,1,0
3/7/2020,13067,1,0
3/7/2020,13121,4,0
3/7/2020,13135,1,0
3/7/2020,13233,1,0
3/7/2020,15003,1,0
3/7/2020,17031,6,0
3/7/2020,18097,1,0
3/7/2020,20091,1,0
3/7/2020,21067,1,0
3/7/2020,24031,3,0
3/7/2020,25003,1,0
3/7/2020,25017,5,0
3/7/2020,25021,3,0
3/7/2020,25025,4,0
3/7/2020,27123,1,0
3/7/2020,29189,1,0
3/7/2020,31055,14,0
3/7/2020,32003,1,0
3/7/2020,32031,1,0
3/7/2020,33009,3,0
3/7/2020,33015,1,0
3/7/2020,34003,3,0
3/7/2020,34007,1,0
3/7/2020,36059,4,0
3/7/2020,,12,0
3/7/2020,36087,2,0
3/7/2020,36091,2,0
3/7/2020,36119,69,0
3/7/2020,37037,1,0
3/7/2020,37183,1,0
3/7/2020,40143,1,0
3/7/2020,41029,2,0
3/7/2020,41035,1,0
3/7/2020,41067,3,0
3/7/2020,42045,1,0
3/7/2020,42091,2,0
3/7/2020,42127,1,0
3/7/2020,,3,0
3/7/2020,45019,1,0
3/7/2020,45055,1,0
3/7/2020,47187,1,0
3/7/2020,48029,11,0
3/7/2020,48157,3,0
3/7/2020,48201,5,0
3/7/2020,49011,1,0
3/7/2020,49035,1,0
3/7/2020,49053,1,0
3/7/2020,50003,1,0
3/7/2020,51059,1,0
3/7/2020,53007,1,0
3/7/2020,53011,1,0
3/7/2020,53031,1,0
3/7/2020,53033,72,16
3/7/2020,53037,1,0
3/7/2020,53053,3,0
